Trait,Female Least Square Means,Male Least Square Means,Female error,Male error,Female Variance,Male Variance,,,,,,,,,,
m34,-9.61,-10.78,0.162,0.16,0.026244,0.0256,,,,,,,,,,
m41,-6.21,-6.76,0.0701,0.0702,0.00491401,0.00492804,,,,,,,,,,
m83,-7.17,-7.53,0.064,0.0657,0.004096,0.00431649,,,,,,,,,,
m69.06,-6.29,-6.74,0.065,0.0668,0.004225,0.00446224,,,,,,,,,,
m57.05,-7.08,-7.45,0.0779,0.08,0.00606841,0.0064,,,,,,,,,,
m93,-7.56,-7.83,0.0839,0.0864,0.00703921,0.00746496,,,,,,,,,,
m39,-6.73,-7.54,0.107,0.109,0.011449,0.011881,,,,,,,,,,
m87,-5.84,-6.33,0.0893,0.0917,0.00797449,0.00840889,,,,,,,,,,
m105,-11.3,-11.9,0.0899,0.0927,0.00808201,0.00859329,,,,,,,,,,
m119,-11.5,-11.8,0.0944,0.0972,0.00891136,0.00944784,,,,,,,,,,
m149,-7.88,-8.23,0.0962,0.0992,0.00925444,0.00984064,,,,,,,,,,
m75,-7.12,-7.5,0.1,0.103,0.01,0.010609,,,,,,,,,,
m91,-7.56,-7.89,0.101,0.104,0.010201,0.010816,,,,,,,,,,
m103,-11.1,-11.7,0.107,0.11,0.011449,0.0121,,,,,,,,,,
m77,-8.36,-8.74,0.11,0.113,0.0121,0.012769,,,,,,,,,,
m89.05,-8.09,-8.43,0.116,0.119,0.013456,0.014161,,,,,,,,,,
m49.05,-10.5,-11.9,0.124,0.127,0.015376,0.016129,,,,,,,,,,
m49.02,-10.6,-11.9,0.124,0.127,0.015376,0.016129,,,,,,,,,,
m73,-6.7,-7.25,0.133,0.136,0.017689,0.018496,,,,,,,,,,
m108,-11.2,-11.5,0.115,0.119,0.013225,0.014161,,,,,,,,,,
m135,-10.7,-11.6,0.119,0.123,0.014161,0.015129,,,,,,,,,,
m89.09,-8.17,-8.43,0.121,0.125,0.014641,0.015625,,,,,,,,,,
m97,-7.97,-8.85,0.129,0.133,0.016641,0.017689,,,,,,,,,,
m125,-10.9,-11.4,0.129,0.133,0.016641,0.017689,,,,,,,,,,
m204,-10.6,-11,0.129,0.133,0.016641,0.017689,,,,,,,,,,
m71,-7.7,-8.36,0.133,0.137,0.017689,0.018769,,,,,,,,,,
m137,-10.5,-11.3,0.134,0.138,0.017956,0.019044,,,,,,,,,,
m85,-8,-8.74,0.134,0.138,0.017956,0.019044,,,,,,,,,,
m69,-10.8,-11.3,0.136,0.14,0.018496,0.0196,,,,,,,,,,
m163,-10.1,-11,0.137,0.141,0.018769,0.019881,,,,,,,,,,
m49.99,-10.6,-11.6,0.144,0.148,0.020736,0.021904,,,,,,,,,,
m81,-8.71,-10.07,0.145,0.149,0.021025,0.022201,,,,,,,,,,
m151,-10.5,-11.2,0.145,0.149,0.021025,0.022201,,,,,,,,,,
m63,-7.3,-7.52,0.145,0.149,0.021025,0.022201,,,,,,,,,,
m79,-9.04,-9.65,0.146,0.15,0.021316,0.0225,,,,,,,,,,
m124,-9.91,-10.45,0.146,0.15,0.021316,0.0225,,,,,,,,,,
m106,-9.89,-10.53,0.148,0.152,0.021904,0.023104,,,,,,,,,,
m95,-8.33,-9.17,0.149,0.153,0.022201,0.023409,,,,,,,,,,
m139,-9.71,-10.3,0.151,0.155,0.022801,0.024025,,,,,,,,,,
m62,-8.65,-9.24,0.151,0.155,0.022801,0.024025,,,,,,,,,,
m86,-10.7,-10.8,0.151,0.155,0.022801,0.024025,,,,,,,,,,
m55,-7.41,-8.24,0.159,0.163,0.025281,0.026569,,,,,,,,,,
m100,-10.3,-11.3,0.134,0.139,0.017956,0.019321,,,,,,,,,,
m121,-10.7,-11,0.137,0.142,0.018769,0.020164,,,,,,,,,,
m113,-10.3,-10.8,0.145,0.15,0.021025,0.0225,,,,,,,,,,
m143,-9.85,-10.51,0.146,0.151,0.021316,0.022801,,,,,,,,,,
m107,-9.43,-10.41,0.152,0.157,0.023104,0.024649,,,,,,,,,,
m45,-5.24,-6.69,0.154,0.159,0.023716,0.025281,,,,,,,,,,
m111,-9.31,-9.97,0.156,0.161,0.024336,0.025921,,,,,,,,,,
m115,-10,-10.6,0.157,0.162,0.024649,0.026244,,,,,,,,,,
m150,-10.1,-10.1,0.157,0.162,0.024649,0.026244,,,,,,,,,,
m59,-5.79,-6.28,0.163,0.168,0.026569,0.028224,,,,,,,,,,
m99,-10.4,-10.6,0.164,0.169,0.026896,0.028561,,,,,,,,,,
m130,-8.91,-9.09,0.164,0.169,0.026896,0.028561,,,,,,,,,,
m42,-7.92,-9.88,0.168,0.173,0.028224,0.029929,,,,,,,,,,
m129,-7.79,-8.03,0.169,0.174,0.028561,0.030276,,,,,,,,,,
m57.02,-8.33,-9.56,0.172,0.177,0.029584,0.031329,,,,,,,,,,
m30.99,-8.65,-10.39,0.175,0.18,0.030625,0.0324,,,,,,,,,,
m47.98,-9.69,-10.7,0.182,0.187,0.033124,0.034969,,,,,,,,,,
m31,-8.02,-9.95,0.19,0.195,0.0361,0.038025,,,,,,,,,,
m127,-9.66,-10.01,0.171,0.177,0.029241,0.031329,,,,,,,,,,
m101,-9.32,-10.02,0.175,0.181,0.030625,0.032761,,,,,,,,,,
m109,-9.93,-10.34,0.18,0.186,0.0324,0.034596,,,,,,,,,,
m98,-10.9,-11.1,0.183,0.189,0.033489,0.035721,,,,,,,,,,
m33,-7.5,-9.23,0.208,0.214,0.043264,0.045796,,,,,,,,,,
m44,-8.74,-10.16,0.208,0.214,0.043264,0.045796,,,,,,,,,,
m61,-9.04,-10.14,0.208,0.214,0.043264,0.045796,,,,,,,,,,
m43,-8.06,-10.74,0.223,0.229,0.049729,0.052441,,,,,,,,,,
m47,-8.06,-10.74,0.223,0.229,0.049729,0.052441,,,,,,,,,,
m46,-7.35,-9.81,0.228,0.234,0.051984,0.054756,,,,,,,,,,
m37,-6.24,-7.97,0.245,0.251,0.060025,0.063001,,,,,,,,,,
m31.99,-8.63,-11.11,0.243,0.25,0.059049,0.0625,,,,,,,,,,