Trait,Sex,Family Standard errror variation,Family variation,Family:ID Standard error,Family:ID variation,Sex Chromosome variation
Perimeter,F,1.45E-01,2.11E-02,3.81E-05,1.45E-09,2.11E-02
Perimeter,M,7.57E-02,5.73E-03,4.48E-05,2.01E-09,5.73E-03
Area,F,2.25E-02,5.04E-04,3.45E-06,1.19E-11,5.04E-04
Area,M,1.21E-02,1.45E-04,7.13E-06,5.08E-11,1.45E-04
Circularity,F,1.43E-02,2.03E-04,3.75E-06,1.40E-11,2.03E-04
Circularity,M,7.04E-03,4.96E-05,4.17E-06,1.74E-11,4.96E-05
Days till gam,F,3.37E-01,1.13E-01,8.84E-05,7.82E-09,1.13E-01
Days till gam,M,1.54E-01,2.37E-02,9.11E-05,8.30E-09,2.37E-02
Leaf length,F,7.27E-02,5.28E-03,3.26E-05,1.06E-09,5.28E-03
Leaf length,M,2.64E-02,6.98E-04,3.21E-05,1.03E-09,6.98E-04
Leaf area,F,1.90E-02,3.59E-04,8.51E-06,7.23E-11,3.59E-04
Leaf area,M,5.79E-03,3.35E-05,7.02E-06,4.93E-11,3.35E-05
Leaf perim,F,2.11E-01,4.46E-02,9.48E-05,8.98E-09,4.46E-02
Leaf perim,M,6.50E-02,4.23E-03,7.88E-05,6.22E-09,4.23E-03
Repro,F,8.82E-02,7.78E-03,2.31E-05,5.34E-10,7.78E-03
Repro,M,4.86E-02,2.36E-03,4.95E-05,2.45E-09,2.36E-03
m86,F,3.36E-01,1.13E-01,3.12E-04,9.70E-08,1.13E-01
m86,M,1.63E-01,2.66E-02,4.74E-04,2.24E-07,2.66E-02
m49.99,F,3.91E-01,1.53E-01,3.62E-04,1.31E-07,1.53E-01
m49.99,M,1.11E-01,1.24E-02,3.23E-04,1.05E-07,1.24E-02
m130.0,F,0.3200932,1.02E-01,0.0002969,8.81E-08,1.02E-01
m130.0,M,0.1580739,2.50E-02,0.0004591,2.11E-07,2.50E-02
m47.98,F,0.4190548,1.76E-01,0.0003887,1.51E-07,1.76E-01
m47.98,M,1.86E-01,3.44E-02,5.39E-04,2.90E-07,3.44E-02
m107.0,F,0.3289936,1.08E-01,0.0003051,9.31E-08,1.08E-01
m107.0,M,0.1579261,2.49E-02,0.0004587,2.10E-07,2.49E-02
m83.05,F,6.59E-02,4.34E-03,6.11E-05,3.73E-09,4.34E-03
m83.05,M,0.060555,3.67E-03,0.0001759,3.09E-08,3.67E-03
m49.02,F,3.72E-01,1.38E-01,3.45E-04,1.19E-07,1.38E-01
m49.02,M,6.20E-02,3.84E-03,1.80E-04,3.24E-08,3.84E-03
m49.05,F,0.3698178,1.37E-01,0.000343,1.18E-07,1.37E-01
m49.05,M,4.53E-02,2.05E-03,1.32E-04,1.73E-08,2.05E-03
m31.99,F,0.6297221,3.97E-01,0.0005841,3.41E-07,3.97E-01
m31.99,M,2.56E-01,6.57E-02,7.45E-04,5.55E-07,6.57E-02
m81.06,F,0.2564785,6.58E-02,0.0002379,5.66E-08,6.58E-02
m81.06,M,1.70E-01,2.90E-02,4.95E-04,2.45E-07,2.90E-02
m43.01,F,4.27E-01,1.82E-01,3.96E-04,1.57E-07,1.82E-01
m43.01,M,0.2625675,6.89E-02,0.0007626,5.82E-07,6.89E-02